mfcc_1,mfcc_2,mfcc_3,mfcc_4,mfcc_5,mfcc_6,mfcc_7,mfcc_8,mfcc_9,mfcc_10,mfcc_11,mfcc_12,mfcc_13,chroma,centroid,bandwidth,rolloff,zcr,rms_energy,pitch,label
-461.67166,56.370613,-1.2112912,-15.244117,-13.225713,-17.586388,-8.832098,-3.4631479,-9.178206,-11.714369,-12.186882,-3.439253,-2.04628,0.25394475,1974.6453649772113,1183.1130923359867,3045.84437573616,0.22494543979436593,0.025380258,1165.6495,real
-484.65668,59.253292,3.2714753,4.8530946,-6.4473658,-13.885605,-12.643876,-8.430714,-17.885004,-9.461091,-8.358364,-9.648972,-6.5872817,0.2917608,1788.596628460653,1137.8603757461415,2760.1032021604938,0.1569146050347222,0.0244577,1577.0746,real
-448.86905,56.49825,-4.017835,-7.9105635,-9.961098,-16.94475,-16.28346,-19.615307,-6.315094,-9.172639,-5.2020946,-4.869494,-4.0750027,0.21362479,1883.9217795760212,1023.8991955503088,2792.8009969325153,0.18324925709355827,0.045485873,1666.6921,real
-455.077,74.63775,-11.473939,-6.4408703,-37.898846,-42.861515,-25.566833,-14.12853,-14.42063,-16.318066,-9.875991,-5.540888,-1.639219,0.23138247,1870.0128114859624,1259.8821266901564,2874.2439516129034,0.1725129158266129,0.035055213,1486.4529,real
-504.22006,49.489933,-14.139867,8.83094,-21.478405,-15.401034,-16.083399,-21.436012,-16.940182,-11.740988,-10.134715,-8.530264,-5.054198,0.27244845,1891.7471910081933,1284.0076602701113,3079.501427406199,0.18259408773450245,0.024501272,1706.1558,real
-575.1678,38.023067,9.102851,-26.748247,-4.279763,-8.779349,-21.31343,-7.262396,-13.28621,-3.654641,0.6011549,7.2627134,-2.141252,0.27778655,2021.2294883097275,944.8733482510683,2823.0954935622317,0.1992700928782189,0.014209111,1321.5323,fake
-509.62833,60.319546,11.3135805,-2.4544983,0.24355538,-15.935851,-7.1506004,-7.6929655,-9.486966,-10.376982,-14.313754,-8.013282,-6.330655,0.25794372,1837.4168684728916,957.8062185051476,2719.5504148629147,0.1792703823953824,0.022308495,1284.6125,fake
-489.92685,57.085236,-9.397194,-14.91182,-3.7206192,-18.097498,-21.804092,-13.859131,-14.129868,-6.290695,-11.055788,-7.941755,-3.146753,0.29573905,1966.1201402373365,1283.8268548342378,3133.5565476190477,0.17897962136243387,0.028888347,1352.3192,fake
-513.272,33.42114,11.294072,-0.5052082,-8.937733,-17.836987,-13.322475,-16.040035,-15.282746,-4.8978033,-6.8480787,-3.5215,-0.70841306,0.22110064,1649.4446070336892,989.0712982690217,2587.615030674847,0.1649162432898773,0.016524397,1488.7109,fake
-554.42816,46.763447,11.772385,-1.3487343,5.4314165,-6.678961,-17.967365,-14.577549,-9.697403,-0.71428424,-8.979435,-1.4841906,-3.97037,0.24844612,1640.4820466121641,1034.4534430627054,2561.1436631944443,0.14742533365885416,0.015120659,1375.0071,fake
-540.9004,49.809464,4.373393,-3.6901965,0.55451953,-4.755049,-11.870588,-2.2070806,-14.820801,-2.2611258,-5.366567,-3.9494045,-4.599776,0.3235252,1968.8111070141501,1134.988554903657,2974.348128980892,0.18799139132165604,0.01532472,1356.9717,fake
